TypeDeclarationContextName,DataView,Name,Enabled,Expression,ProcessStatus,PropertyGroupKey,PropertyKnownName,DefaultOrder,PropertyType,DefaultValue,IsNullable,IsDbGenerated,PropertyCategory,EntityReferenceSimplePath,IsForeignKey,SourcePropertyName,ForeignKeyPropertyCategory,OnUIWhenDisplay,OnUIWhenEdit,OnUIWhenCreate,OnUIWhenSummary,QuickFilter
Product,,ProductID,True,,FromDefault,,__AutoGeneratedNumericIdentity__,0,SystemInt32,,False,True,Identifier,,False,,NotForeignKey,Display,Display,None,Display,False
Product,,ProductID,True,,FromDefault,,__AutoGeneratedNumericIdentity__,0,SystemInt32,,False,True,Identifier,,False,,NotForeignKey,Display,Display,None,Display,False
Product,,Name,True,,FromDefault,,Name,100,SystemString,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,Name,True,,FromDefault,,Name,100,SystemString,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,ProductNumber,True,,FromDefault,,Unknown,200,SystemString,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,ProductNumber,True,,FromDefault,,Unknown,200,SystemString,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,Color,True,,FromDefault,,Unknown,300,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,StandardCost,True,,FromDefault,,Unknown,400,SystemDecimal,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,Color,True,,FromDefault,,Unknown,500,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,ListPrice,True,,FromDefault,,Unknown,500,SystemDecimal,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,Size,True,,FromDefault,,Unknown,600,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,Weight,True,,FromDefault,,Unknown,700,SystemDecimal,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,StandardCost,True,,FromDefault,,Unknown,800,SystemDecimal,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,ProductCategoryID,True,,FromDefault,,Unknown,800,SystemInt32,,True,False,Unknown,\ProductCategoryID,True,,Ancestor,Display,Editor,Editor,Display,False
Product,,ProductCategoryID,True,,FromDefault,,Unknown,800,SystemInt32,,True,False,Unknown,\ProductCategoryID,True,,Ancestor,Display,Editor,Editor,Display,False
Product,,ListPrice,True,,FromDefault,,Unknown,900,SystemDecimal,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,ProductModelID,True,,FromDefault,,Unknown,900,SystemInt32,,True,False,Unknown,\ProductModelID,True,,Ancestor,Display,Editor,Editor,Display,False
Product,,Size,True,,FromDefault,,Unknown,1000,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,SellStartDate,True,,FromDefault,,Unknown,1000,SystemDateTime,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,SellEndDate,True,,FromDefault,,Unknown,1100,SystemDateTime,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,DiscontinuedDate,True,,FromDefault,,Unknown,1200,SystemDateTime,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,Weight,True,,FromDefault,,Unknown,1300,SystemDecimal,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,ThumbNailPhoto,True,,FromDefault,,Unknown,1300,SystemByteArray,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,ThumbNailPhoto,True,,FromDefault,,Unknown,1300,SystemByteArray,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,ThumbnailPhotoFileName,True,,FromDefault,,Unknown,1400,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,ThumbnailPhotoFileName,True,,FromDefault,,Unknown,1400,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,rowguid,True,,FromDefault,,RowGuid,1500,SystemGuid,,False,False,Unknown,,False,,NotForeignKey,Display,Display,None,Display,False
Product,,ModifiedDate,True,,FromDefault,,Unknown,1600,SystemDateTime,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,ProductModelID,True,,FromDefault,,Unknown,1900,SystemInt32,,True,False,Unknown,\ProductModelID,True,,Ancestor,Display,Editor,Editor,Display,False
Product,,SellStartDate,True,,FromDefault,,Unknown,2000,SystemDateTime,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,SellEndDate,True,,FromDefault,,Unknown,2100,SystemDateTime,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,DiscontinuedDate,True,,FromDefault,,Unknown,2200,SystemDateTime,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Product,,rowguid,True,,FromDefault,,RowGuid,2300,SystemGuid,,False,False,Unknown,,False,,NotForeignKey,Display,Display,None,Display,False
Product,,ModifiedDate,True,,FromDefault,,Unknown,2400,SystemDateTime,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.Product,DefaultView,ProductID,True,(!SystemInt32)ProductID=ProductID~Identifier,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,__AutoGeneratedNumericIdentity__,0,SystemInt32,"",False,True,Identifier,,False,ProductID,NotForeignKey,Display,Display,None,Display,False
